2021-03-10T13:30:24.471Z [AUDIT] Token created by 'anonymous': tokenId='1e21af84-bb81-4892-bf92-51c2191e358d', issuer='jfac@01f0e39mk21h7w0g31fga71b1k', subject='jfac@01f0e39mk21h7w0g31fga71b1k', expiry=1615383144462, refreshable=false
2021-03-10T13:30:24.765Z [AUDIT] Token created by 'anonymous': tokenId='6d945202-2234-4261-85da-24f2dde6bb57', issuer='jfac@01f0e39mk21h7w0g31fga71b1k', subject='jfac@01f0e39mk21h7w0g31fga71b1k', expiry=1615383144753, refreshable=false
2021-03-10T13:30:24.991Z [AUDIT] Token created by 'anonymous': tokenId='2b7cd221-5992-441d-ac51-5f62869848b0', issuer='jfac@01f0e39mk21h7w0g31fga71b1k', subject='jfac@01f0e39mk21h7w0g31fga71b1k', expiry=1615383144979, refreshable=false
2021-03-10T13:30:25.433Z [AUDIT] Token created by 'anonymous': tokenId='693a9595-f40b-4f68-95f1-4b48075bdd5c', issuer='jfac@01f0e39mk21h7w0g31fga71b1k', subject='jfac@01f0e39mk21h7w0g31fga71b1k', expiry=1615383145419, refreshable=false
2021-03-10T13:30:25.911Z [AUDIT] Token created by 'anonymous': tokenId='07972a88-299b-4efc-91ad-5b5a540810a7', issuer='jfmd@01f0e39z5afy5nkms4x04pbts0', subject='jfmd@01f0e39z5afy5nkms4x04pbts0', expiry=none, refreshable=false
2021-03-10T13:30:25.924Z [AUDIT] Token revoked by 'anonymous': tokenId='c3f71ee7-aaa8-4203-97a6-132cab2d8133', issuer='jfmd@01f0e39z5afy5nkms4x04pbts0', subject='jfmd@01f0e39z5afy5nkms4x04pbts0', expiry=none, refreshable=false
2021-03-10T13:30:26.065Z [AUDIT] Token created by 'anonymous': tokenId='f7fe1243-a8be-4bc2-9d3f-f132505e6727', issuer='jfrt@01f0e3acmpap8e1w103fzs1qqq', subject='jfrt@01f0e3acmpap8e1w103fzs1qqq', expiry=none, refreshable=false
2021-03-10T13:30:26.074Z [AUDIT] Token revoked by 'anonymous': tokenId='fd0f3f89-356c-44c1-9c2c-fea80a7b5be2', issuer='jfrt@01f0e3acmpap8e1w103fzs1qqq', subject='jfrt@01f0e3acmpap8e1w103fzs1qqq', expiry=none, refreshable=false
2021-03-10T13:30:27.633Z [AUDIT] Token created by 'jfrt@01f0e3acmpap8e1w103fzs1qqq': tokenId='8960e495-697d-425d-b60d-2aca60be3180', issuer='jfrt@01f0e3acmpap8e1w103fzs1qqq', subject='jfrt@01f0e3acmpap8e1w103fzs1qqq', expiry=2561463027628, refreshable=false
2021-03-10T13:30:33.456Z [AUDIT] Token created by 'anonymous': tokenId='682271bb-167a-477b-b7c8-353b9fc9b10b', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-03-10T13:30:33.465Z [AUDIT] Token revoked by 'anonymous': tokenId='dbf9bb27-0023-48e1-845a-5706f7ba4f84', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-03-10T13:30:33.532Z [AUDIT] Token created by 'jffe@000': tokenId='1fa70674-9917-41e3-88b3-f7236b7d5a75', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615383633532, refreshable=false
2021-03-10T13:31:04.359Z [AUDIT] Token created by 'jffe@000': tokenId='cc730686-a406-4b63-bb95-7edebf118063', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1615383664359, refreshable=false
2021-03-10T13:31:04.383Z [AUDIT] Token created by 'jffe@000': tokenId='adee1757-4a8d-4180-9234-1d57a913b438', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615383664383, refreshable=false
2021-03-10T13:31:04.384Z [AUDIT] Token created by 'jffe@000': tokenId='4377b187-9627-4c37-872b-44af4c670219', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615383664384, refreshable=false
2021-03-10T13:31:04.393Z [AUDIT] Token created by 'jffe@000': tokenId='57f7b8d3-5ce6-4b3e-84f9-b3927d33d796', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615383664392, refreshable=false
2021-03-10T13:31:05.354Z [AUDIT] Token created by 'jffe@000': tokenId='3349e5f0-c8e7-4fe1-ad3c-a0d164337fe9', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615383665354, refreshable=false
2021-03-10T13:33:07.320Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='fe098cc1-4da0-46b5-8302-9605b743099d', tokenId='7d9dff65-6d67-4cc6-8f8f-70a32c8c141c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615384987303, refreshable=true
2021-03-10T13:40:35.988Z [AUDIT] Token created by 'jffe@000': tokenId='b4c3435a-f2b1-4004-9d95-900961f8ed27', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615384235988, refreshable=false
2021-03-10T13:40:35.990Z [AUDIT] Token created by 'jffe@000': tokenId='ef1f2be3-bfad-48b7-a2c4-99d687102c60', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615384235990, refreshable=false
2021-03-10T13:40:35.991Z [AUDIT] Token created by 'jffe@000': tokenId='f8cbf3fd-b485-4e2d-af37-b308b7a8b3d0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615384235990, refreshable=false
2021-03-10T13:40:35.991Z [AUDIT] Token created by 'jffe@000': tokenId='36d721f6-a825-4666-80e6-c07a85acb5f1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615384235991, refreshable=false
2021-03-10T13:41:20.657Z [AUDIT] Token created by 'jffe@000': tokenId='e8f4c083-2404-42d5-a8bf-0ddc8ad91171', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615384280656, refreshable=false
2021-03-10T13:50:36.101Z [AUDIT] Token created by 'jffe@000': tokenId='a6c61e89-4a45-4219-a51c-7637784b43f3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615384836101, refreshable=false
2021-03-10T13:50:36.101Z [AUDIT] Token created by 'jffe@000': tokenId='a893326f-520e-4ab4-928f-c14f849a4b11', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615384836101, refreshable=false
2021-03-10T13:50:36.105Z [AUDIT] Token created by 'jffe@000': tokenId='4095815e-155b-45e3-8752-93403bf035d6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615384836104, refreshable=false
2021-03-10T13:50:36.116Z [AUDIT] Token created by 'jffe@000': tokenId='e6f1f218-c6a1-467c-bbf8-abe3095ba1c8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615384836116, refreshable=false
